URL,ASIN,Manufacturer,Description
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1675269038&sprefix=ba%2Caps%2C283&sr=8-15,B07M9BRCQ5,Fur Jaden,"Is Discontinued By Manufacturer : No , Product Dimensions : 28 x 27 x 47 cm; 900 Grams , Date First Available : 20 December 2018 , Manufacturer : Fur Jaden , ASIN : B07M9BRCQ5 , Item model number : DUFF05 , Country of Origin : India , Manufacturer : Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028 , Item Weight : 900 g , Item Dimensions LxWxH : 28 x 27 x 47 Centimeters , Net Quantity : 1 count , Included Components : 1 Duffle Bag , Generic Name : Duffle Bag , "
https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1675269038&sprefix=ba%2Caps%2C283&sr=8-16,B084ZHP97M,Amazing Bags,"Product Dimensions : 22.23 x 15.88 x 6.99 cm; 190 Grams , Date First Available : 19 February 2020 , ASIN : B084ZHP97M , Item part number : DK01CSP-HYP , Country of Origin : India , Item Weight : 190 g , Item Dimensions LxWxH : 22.2 x 15.9 x 7 Centimeters , Generic Name : Messenger Bag , "
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1675269038&sprefix=ba%2Caps%2C283&sr=8-17,B09QJ7ZF2Y,Martucci,"Product Dimensions : 5 x 13 x 17 cm; 680 Grams , Date First Available : 15 January 2022 , ASIN : B09QJ7ZF2Y , Item model number : LEGEND-1 , Country of Origin : India , Department : unisex-adult , Item Weight : 680 g , Item Dimensions LxWxH : 50 x 130 x 170 Millimeters , "
https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1675269038&sprefix=ba%2Caps%2C283&sr=8-18,B09VCLZ3K4,ADISA,"Product Dimensions : 22 x 30 x 50 cm; 670 Grams , Date First Available : 11 March 2022 , Manufacturer : Amazing Bags , ASIN : B09VCLZ3K4 , Item model number : laptop bag , Country of Origin : India , Department : unisex-adult , Manufacturer : Amazing Bags , Item Weight : 670 g , Item Dimensions LxWxH : 22 x 30 x 50 Centimeters , "
https://www.amazon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1675269038&sprefix=ba%2Caps%2C283&sr=8-19,B088B4P6ZW,,"Product Dimensions : 13 x 7 x 20 cm; 350 Grams , Date First Available : 7 May 2020 , Manufacturer : Martucci , ASIN : B088B4P6ZW , Item part number : 30L-Advtr-Black , Country of Origin : India , Department : Unisex-adult , Manufacturer : Martucci , Item Weight : 350 g , Item Dimensions LxWxH : 13 x 7 x 20 Centimeters , Net Quantity : 1.00 count , "
https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1675269038&sprefix=ba%2Caps%2C283&sr=8-20,B07F3X45WZ,Panda Exim,"Product Dimensions : 31 x 25 x 46 cm; 430 Grams , Date First Available : 28 June 2018 , Manufacturer : ADISA , ASIN : B07F3X45WZ , Item model number : BP005 , Country of Origin : India , Department : Men , Manufacturer : ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com , Packer : ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com , Item Weight : 430 g , Item Dimensions LxWxH : 31 x 25 x 46 Centimeters , Net Quantity : 1.00 Unit , Included Components : Laptop backpack only , Generic Name : Laptop backpack , "
https://www.amazon.in/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1675269041&sprefix=ba%2Caps%2C283&sr=8-19,,ADISA,
https://www.amazon.in/Inovera-Label-Women-Handbags-Shoulder/dp/B08CMQD4BC/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1675269041&sprefix=ba%2Caps%2C283&sr=8-20,B08CMQD4BC,,"Product Dimensions : 32 x 13 x 30 cm; 620 Grams , Date First Available : 6 July 2020 , Manufacturer : Panda Exim , ASIN : B08CMQD4BC , Item model number : KK38 , Country of Origin : China , Department : womens , Manufacturer : Panda Exim , Packer : Opus Retail , Importer : Panda Exim , Item Weight : 620 g , Item Dimensions LxWxH : 32 x 13 x 30 Centimeters , Net Quantity : 1.00 count , Included Components : 1 Handbag, 1 Long & Adjustable Strap , Generic Name : Handbag , "
https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1675269041&sprefix=ba%2Caps%2C283&sr=8-21,B07G3CG9FC,Amazing Bags,"Product Dimensions : 30.5 x 17.8 x 45.7 cm; 430 Grams , Date First Available : 26 July 2018 , Manufacturer : ADISA , ASIN : B07G3CG9FC , Item model number : BP004 , Country of Origin : India , Department : Men , Manufacturer : ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com , Packer : ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com , Item Weight : 430 g , Item Dimensions LxWxH : 30.5 x 17.8 x 45.7 Centimeters , Net Quantity : 1.00 Unit , Included Components : Laptop backpack only , Generic Name : Laptop backpack , "
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1675269041&sprefix=ba%2Caps%2C283&sr=8-22,,,
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1675269041&sprefix=ba%2Caps%2C283&sr=8-23,B085MHDJ93,Gear Merchandise PVT LTD,"Product Dimensions : 21 x 33 x 48 cm; 600 Grams , Date First Available : 28 February 2020 , Manufacturer : Amazing Bags , ASIN : B085MHDJ93 , Item model number : bag for men , Country of Origin : India , Department : Unisex Adult and Child , Manufacturer : Amazing Bags, Half_Moon, New Delhi , Item Weight : 600 g , Item Dimensions LxWxH : 21 x 33 x 48 Centimeters , "
https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1675269041&sprefix=ba%2Caps%2C283&sr=8-24,,Safari Industries,
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1675269041&sprefix=ba%2Caps%2C283&sr=8-25,B075MK4TXP,FUR JADEN,"Product Dimensions : 50 x 34 x 18 cm; 680 Grams , Date First Available : 14 September 2017 , Manufacturer : Gear Merchandise PVT LTD , ASIN : B075MK4TXP , Item model number : LBPASPIRE0104 , Country of Origin : India , Department : Men , Manufacturer : Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366 , Packer : Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366 , Item Weight : 680 g , Item Dimensions LxWxH : 50 x 34 x 18 Centimeters , Net Quantity : 1 count , Included Components : Laptop Backpack , Generic Name : Bag , "
https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1675269041&sprefix=ba%2Caps%2C283&sr=8-26,B09B25Z8M2,Fur Jaden,"Product Dimensions : 46 x 32 x 16 cm; 350 Grams , Date First Available : 22 July 2021 , Manufacturer : Safari Industries , ASIN : B09B25Z8M2 , Item model number : QUILL19CBBLK , Country of Origin : India , Department : unisex-adult , Manufacturer : Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059 , Packer : 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059 , Importer : 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059 , Item Weight : 350 g , Item Dimensions LxWxH : 46 x 32 x 16 Centimeters , Generic Name : Laptop Backpack , "
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1675269041&sprefix=ba%2Caps%2C283&sr=8-29,B09VTDMRY7,,"Product Dimensions : 30 x 18 x 42 cm; 700 Grams , Date First Available : 17 March 2022 , Manufacturer : FUR JADEN , ASIN : B09VTDMRY7 , Item model number : BM83 , Country of Origin : India , Department : Unisex-adult , Manufacturer : FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002 , Packer : Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002 , Item Weight : 700 g , Item Dimensions LxWxH : 30 x 18 x 42 Centimeters , Net Quantity : 1.00 Unit , Generic Name : Anti Theft Laptop Backpack , "
https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1675269041&sprefix=ba%2Caps%2C283&sr=8-30,B07YDGQQN5,Freewill Sports Private Limited,"Product Dimensions : 35 x 25 x 65 cm; 700 Grams , Date First Available : 24 September 2019 , Manufacturer : Fur Jaden , ASIN : B07YDGQQN5 , Item model number : BM110_BlackGrey , Country of Origin : India , Manufacturer : Fur Jaden, Fur Jaden 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028 , Packer : Fur Jaden 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028 , Item Weight : 700 g , Item Dimensions LxWxH : 35 x 25 x 65 Centimeters , Net Quantity : 1 count , Included Components : 1 Rucksack , Generic Name : Rucksack , "
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07PLKV6D1/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1675269041&sprefix=ba%2Caps%2C283&sr=8-31,,Iff Overseas Pvt Ltd,
https://www.amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1675269041&sprefix=ba%2Caps%2C283&sr=8-32,B07FWQ9HRV,,"Is Discontinued By Manufacturer : No , Product Dimensions : 18 x 18 x 36 cm; 800 Grams , Date First Available : 25 July 2018 , Manufacturer : Freewill Sports Private Limited , ASIN : B07FWQ9HRV , Item model number : 6853 , Country of Origin : India , Department : Unisex , Manufacturer : Freewill Sports Private Limited, Freewill Sports Private Limited - 391 Leather Complex Kapurthala Road Jalandhar,144021 (Punjab) Contact No. - 0181-5057000,5099000 , Packer : Freewill Sports Pvt Ltd. - 391 Leather Complex Kapurthala Road Jalandhar,144021 (Punjab) Contact No. - 0181-5057000,5099000 , Item Weight : 800 g , Item Dimensions LxWxH : 18 x 18 x 36 Centimeters , Net Quantity : 1 count , Included Components : 1 Bag , Generic Name : Bags , "
https://www.amazon.in/Hilfiger-Joshua-Backpack-TH-JOSHUALAP01/dp/B07N8GRWTZ/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1675269041&sprefix=ba%2Caps%2C283&sr=8-33,B07N8GRWTZ,Gear Merchandise PVT LTD,"Product Dimensions : 14 x 46 x 32 cm; 400 Grams , Date First Available : 30 January 2019 , Manufacturer : Iff Overseas Pvt Ltd , ASIN : B07N8GRWTZ , Item model number : TH/JOSHUALAP01 , Country of Origin : India , Manufacturer : Iff Overseas Pvt Ltd, Iff Overseas Pvt Ltd, 140/2/2, Ring Road Sqaure, Musakhedi, Indore, Madhya Pradesh, 452001; 07314223000 , Packer : Brand Concepts Ltd, 140/2/2, Ring Road Sqaure, Musakhedi, Indore, Madhya Pradesh, 452001; 07314223000 , Item Weight : 400 g , Item Dimensions LxWxH : 14 x 46 x 32 Centimeters , Net Quantity : 1 count , Included Components : Backpack , Generic Name : Laptop Backpack , "
https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17227/dp/B075Y6SRMG/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1675269041&sprefix=ba%2Caps%2C283&sr=8-34,,Samsonite,
https://www.amazon.in/Gear-Beige-Casual-Backpack-BKPTRMP520522/dp/B00VWM11HQ/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1675269041&sprefix=ba%2Caps%2C283&sr=8-35,B00VWM11HQ,Amazing Bags,"Is Discontinued By Manufacturer : No , Product Dimensions : 47 x 32 x 18 cm; 534 Grams , Date First Available : 10 April 2015 , Manufacturer : Gear Merchandise PVT LTD , ASIN : B00VWM11HQ , Item model number : BKPTRMP520522 , Country of Origin : India , Department : Men , Manufacturer : Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366 , Packer : Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366 , Item Weight : 534 g , Item Dimensions LxWxH : 47 x 32 x 18 Centimeters , Net Quantity : 1 count , Included Components : Backpack , Generic Name : Bag , "
https://www.amazon.in/American-Tourister-AMT-SCH-BAG01/dp/B07CJCFNZG/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1675269041&sprefix=ba%2Caps%2C283&sr=8-36,B07CJCFNZG,SHABA BAGS,"Is Discontinued By Manufacturer : No , Product Dimensions : 33 x 22 x 51 cm; 490 Grams , Date First Available : 18 April 2018 , Manufacturer : Samsonite , ASIN : B07CJCFNZG , Item model number : AMT MIST SCH BAG01 BLUE , Country of Origin : China , Department : unisex-adult , Manufacturer : Samsonite , Item Weight : 490 g , Item Dimensions LxWxH : 33 x 22 x 51 Centimeters , Generic Name : Casual Backpack , "
https://www.amazon.in/Half-Moon-Backpack-Compartment-Reflective/dp/B0BJ32LQ6X/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-35,B0BJ32LQ6X,Bagzone Lifestyle Pvt Ltd,"Product Dimensions : 22 x 30 x 50 cm; 660 Grams , Date First Available : 13 October 2022 , Manufacturer : Amazing Bags , ASIN : B0BJ32LQ6X , Item model number : laptop bag , Country of Origin : India , Department : Unisex-adult , Manufacturer : Amazing Bags , Item Weight : 660 g , Item Dimensions LxWxH : 22 x 30 x 50 Centimeters , "
https://www.amazon.in/Northzone-Waterproof-Backpack-Business-Dimensions/dp/B0BS6QM2GD/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-36,B0BS6QM2GD,Tabelito,"Product Dimensions : 48 x 32 x 15 cm; 1 Kilograms , Date First Available : 12 January 2023 , Manufacturer : SHABA BAGS , ASIN : B0BS6QM2GD , Item model number : DB01 , Country of Origin : India , Department : unisex-adult , Manufacturer : SHABA BAGS , Item Weight : 1 kg , Item Dimensions LxWxH : 48 x 32 x 15 Centimeters , Net Quantity : 1.00 count , "
https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-37,B097RJ22Q3,WildHorn,"Product Dimensions : 62.99 x 30 x 32 cm; 1.5 Kilograms , Date First Available : 23 June 2021 , Manufacturer : Bagzone Lifestyle Pvt Ltd , ASIN : B097RJ22Q3 , Item model number : DGGE035040M3 , Country of Origin : India , Department : unisex-adult , Manufacturer : Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093 , Packer : Bagzone Lifestyles pvt ltd , Importer : Bagzone Lifestyle pvt ltd, Bagzone Lifestyle Pvt Ltd , Item Weight : 1 kg 500 g , Item Dimensions LxWxH : 63 x 30 x 32 Centimeters , Net Quantity : 1 Count , Included Components : Duffle Bag , Generic Name : Duffle Bag , "
https://www.amazon.in/Tabelito-Office-Laptop-Briefcase-Women/dp/B08FKXCJNQ/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-38,B08FKXCJNQ,Half_Moon,"Product Dimensions : 33 x 44 x 9 cm; 499 Grams , Date First Available : 10 August 2020 , Manufacturer : Tabelito , ASIN : B08FKXCJNQ , Item model number : TAB-BC-G , Country of Origin : India , Department : unisex-adult , Manufacturer : Tabelito, Prop No: 5, Ground Floor, Kh No:641, Village Rithala, Land Mark: Near Suzuki service center (Rithala) , Packer : 9958166528 , Importer : 9958166528 , Item Weight : 499 g , Item Dimensions LxWxH : 33 x 44 x 9 Centimeters , Net Quantity : 1 U , Included Components : Laptop Briefcase , Generic Name : Laptop Briefcase , "
https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-39,B09QL66G55,Uber Fashion Merchandise Pvt. Ltd.,"Product Dimensions : 33 x 7 x 48 cm; 450 Grams , Date First Available : 17 January 2022 , Manufacturer : WildHorn , ASIN : B09QL66G55 , Item model number : BP012 , Country of Origin : India , Department : mens , Manufacturer : WildHorn, ADL International, 61 B/H G.J. Khan Road, kolkata-700039, Contact: +91 9051643604 , Packer : ADL International, 61B G.J. Khan Road, Kolkata-700039, Contact: +91 9051643604 , Item Weight : 450 g , Item Dimensions LxWxH : 33 x 7 x 48 Centimeters , Net Quantity : 1.00 count , Generic Name : Laptop Backpack , "
https://www.amazon.in/Half-Moon-Spacious-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-40,B0BLVQ9NTD,WILD MODA,"Product Dimensions : 45 x 33 x 25 cm; 450 Grams , Date First Available : 9 November 2022 , Manufacturer : Half_Moon , ASIN : B0BLVQ9NTD , Item model number : Strike35_MT , Country of Origin : India , Department : unisex-adult , Manufacturer : Half_Moon , Item Weight : 450 g , Item Dimensions LxWxH : 45 x 33 x 25 Centimeters , "
https://www.amazon.in/F-Gear-String-Polyester-33-cms-Black-Drawstring-Gym-Bag/dp/B07PC28YQ9/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-41,B07PC28YQ9,Baggit India Pvt Ltd.,"Is Discontinued By Manufacturer : No , Product Dimensions : 32 x 2 x 43 cm; 100 Grams , Date First Available : 1 October 2015 , Manufacturer : Uber Fashion Merchandise Pvt. Ltd. , ASIN : B07PC28YQ9 , Item model number : 2154 , Country of Origin : India , Department : unisex-adult , Manufacturer : Uber Fashion Merchandise Pvt. Ltd., Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1 , 1st & 2nd Floor, Industrial Suburb, 2nd Stage, Yeshwantpur, Next to Sapna Books on MEI road, Bangalore – 560 022. INDIA Tel: 9066161590 , Packer : Uber Fashion Merchandise Pvt. Ltd. F Gear, Jindal Edifice, No 90/2, 3rd Main, 2nd Stage, Industrial Suburb, Yeshwantpur, Bengaluru, Karnataka 560154 , Item Weight : 100 g , Item Dimensions LxWxH : 32 x 2 x 43 Centimeters , Net Quantity : 1 count , Included Components : Pack of 1 Gym Bag , Generic Name : Drawstring Gym Bag , "
https://www.amazon.in/WILD-MODA-Womens-Shoulder-Turquoise/dp/B099PLT91X/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-42,B099PLT91X,POLESTAR,"Is Discontinued By Manufacturer : No , Product Dimensions : 35 x 18 x 27 cm; 540 Grams , Date First Available : 14 May 2019 , Manufacturer : WILD MODA , ASIN : B099PLT91X , Item model number : WMWB1116 , Country of Origin : India , Department : Womens , Manufacturer : WILD MODA, wildmoda@gmail.com , Packer : WILD MODA, Dr. SRK Nagar, Bangalore 560077 Karnataka , Importer : WILD MODA, Dr. SRK Nagar, Bangalore 560077 Karnataka , Item Weight : 540 g , Item Dimensions LxWxH : 35 x 18 x 27 Centimeters , Net Quantity : 1.00 Unit , Included Components : Messenger Bag , Generic Name : Shoulder Bag , "
https://www.amazon.in/Capacity-Cosmetic-Portable-Cosmetics-Organizer/dp/B0BR123Z9J/ref=sr_1_45?crid=2M096C61O4MLT&keywords=bags&qid=1675269044&sprefix=ba%2Caps%2C283&sr=8-45,B0BR123Z9J,Fur Jaden,"Package Dimensions : 30 x 18.8 x 3.2 cm; 130 Grams , Date First Available : 24 December 2022 , ASIN : B0BR123Z9J , Item part number : ZANIC , Country of Origin : India , Item Weight : 130 g , Net Quantity : 1.00 count , "
